5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane Points,% Observed
06/11/2018 21:37,25,1,100
06/11/2018 21:37,25,1,100
06/11/2018 21:37,25,1,100
06/11/2018 21:37,25,1,100
06/11/2018 21:37,25,1,100
06/11/2018 11:12,50,1,100
06/11/2018 11:38,50,1,100
06/11/2018 24:04,50,1,100
06/11/2018 24:12,25,1,100
06/11/2018 24:12,50,1,100
06/11/2018 13:42,25,1,100
06/11/2018 14:00,75,1,100
06/11/2018 14:43,50,1,100
06/11/2018 14:43,75,1,100
06/11/2018 15:41,25,1,100
06/11/2018 16:02,25,1,100
06/11/2018 16:15,50,1,100
06/11/2018 16:15,25,1,100
06/11/2018 16:14,25,1,100
06/11/2018 19:08,25,1,100
06/11/2018 19:09,75,1,100
06/11/2018 19:08,75,1,100
06/11/2018 21:44,25,1,100
06/12/2018 12:23,25,1,100
06/12/2018 22:55,25,1,100
06/13/2018 22:55,25,1,100
06/13/2018 12:31,25,1,100
06/13/2018 12:31,25,1,100
06/13/2018 12:31,25,1,100
06/13/2018 12:31,25,1,100
06/13/2018 11:09,50,1,100
06/13/2018 11:09,25,1,100
06/13/2018 11:09,50,1,100
06/13/2018 24:34,50,1,100
06/13/2018 13:10,50,1,100
